Pathway	RL509-mf	RL511-mf	RL514-mf	RL516-mf	RL518-mf	RL528-mf	RL568-mf	RL569-mf	RL573-mf	RL585-mf	RL591-mf	RL601-mf	RL605-mf	RL606-mf	RL607-mf	RL610-mf	RL613-mf	RL616-mf	RL627-mf	RL628-mf	RL641-mf	RL651-mf	RL654-mf	RL656-mf	RL659-mf	RL663-mf	RL665-mf	RL667-mf	RL668-mf	RL679-mf	RL680-mf	RL682-mf	RL683-mf	RL686-mf	RL691-mf	RL693-mf	RL700-mf	RL703-mf	RL704-mf	RL725-mf
PWY-5656: mannosylglycerate biosynthesis I	0	0	0	0	0	0	0	11.2813	0	0	0	0	0	0	0	0	0	0	0	0	0	16.2973	0	0	0	0	0	0	0	0	0	0	0	0	1.84374	0	1.30044	44.6549	2.72551	8.48537
PWY-5659: GDP-mannose biosynthesis	4.46237	56.5313	24.1436	3.50881	38.762	11.212	16.5969	24.6528	45.6976	80.9849	58.6044	69.4252	10.4069	32.6472	14.4198	13.8706	30.6582	24.0406	240.468	109.141	26.3228	228.479	28.8643	69.6631	70.6173	35.3816	20.1504	57.5837	46.6571	39.7765	91.7797	83.4776	64.9661	175.053	120.386	42.7371	41.9432	127.463	61.7607	65.5983
PWY-5667: CDP-diacylglycerol biosynthesis I	13.1549	142.638	0	34.9647	96.3142	11.9826	44.5934	41.3995	128.869	99.0357	137.8	176.484	10.3534	48.6283	49.667	46.5289	61.1671	44.0986	200.457	294.926	106.734	127.11	72.4425	179.299	175.535	15.9093	64.8796	71.6668	127.523	48.0017	211.042	204.838	158.54	434.271	361.192	94.6238	138.36	173.807	67.4607	344.054
PWY-5675: nitrate reduction V (assimilatory)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.26696	0	50.7495	0	0	0	0	0	0	0	0	1.30965	0	0	0	15.2112	0	0	18.6812	6.99792	26.5195
PWY-5676: acetyl-CoA fermentation to butanoate II	5.5656	46.814	22.8101	6.50497	4.22107	18.6314	24.5759	0	110.775	26.3716	49.192	20.0611	12.7378	28.3463	8.15083	14.007	21.6663	30.6739	45.8365	280.296	17.4829	113.432	34.2552	88.2663	35.156	11.0028	57.2966	83.4789	12.6414	10.7258	49.256	65.2212	11.3399	20.3677	44.3879	69.6148	51.6953	58.6568	47.3101	60.6578
PWY-5686: UMP biosynthesis I	9.57904	234.69	0	5.37317	136.76	14.0576	40.3215	22.2491	251.099	126.458	155.337	207.864	13.3637	65.5284	37.673	53.0561	74.6384	88.0893	283.364	631.707	118.656	162.763	61.6589	194.564	150.274	36.8214	74.6451	98.5063	138.722	43.3678	361.505	274.279	201.459	986.065	386.812	119.237	146.733	92.4548	92.9853	369.118
PWY-5690: TCA cycle II (plants and fungi)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.94734	34.4112	0	0	0	0	0	0	0	6.16087	0	0	0	0	10.995	0	6.08267	0	0	10.9024	11.2454	3.73969
PWY-5692: allantoin degradation to glyoxylate II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90626
PWY-5695: inosine 5'-phosphate degradation	9.63114	80.0874	34.8162	52.4495	44.2926	32.371	26.5218	43.791	88.3288	80.2363	96.1234	95.8497	11.2924	56.0379	80.8373	50.2793	36.2829	47.9788	145.379	211.828	123.762	135.186	90.8814	164.989	192.376	68.3499	87.7084	79.3425	149.633	49.4448	161.139	126.328	181.823	251.51	474.085	81.6639	107.309	230.376	244.287	442.253
PWY-5705: allantoin degradation to glyoxylate III	0	0	0	0	0	0	0	1.26626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46517	0	4.41429
PWY-5723: Rubisco shunt	0	0	0	6.63884	0	0	0	37.5702	17.2235	0	3.95895	0	0	0	0	3.90387	29.1962	2.13152	8.80878	0	0	21.1651	0	15.2465	0	21.9794	0	3.46029	0	0	13.844	0	8.11785	0	15.9441	6.35064	5.64833	135.282	29.6619	58.7908
PWY-5747: 2-methylcitrate cycle II	0	0	0	0	0	0	0	1.54425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13448	0	0	2.19944	0	2.18623
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	0	0	0	0	0	0	0	9.3695	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22243	0	0	3.04548	0	0	0	0	0	0	0	0	0	10.6812	0	0	32.9173	6.70397	18.479
PWY-5838: superpathway of menaquinol-8 biosynthesis I	0	0	0	0	0	0	0	5.5012	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3166	0	0	8.37999	0	0	0	0	0	0	0	0	0	31.4547	0	0	61.9532	17.3089	49.1095
PWY-5840: superpathway of menaquinol-7 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0462	0	0	8.41595	0	0	0	0	0	0	0	0	0	23.9992	0	0	51.0699	0	38.2095
PWY-5845: superpathway of menaquinol-9 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0462	0	0	0	0	0	0	0	0	0	0	0	0	28.2455	0	0	51.0699	16.2123	38.2095
PWY-5850: superpathway of menaquinol-6 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0462	0	0	0	0	0	0	0	0	0	0	0	0	3.58098	0	0	51.0699	0	38.2095
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	0	0	0	0	0	0	0	1.92264	0	0	0	0	0	0	0	0	0	0	0	0	0	2.16532	0	0	0	0	0	0	0	0	0	0	0	0	0.679015	0	0	14.4288	6.16771	4.7555
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.80438	0	0	0	0	0	0	0	0	0	0	0	0	2.40202	0	0	37.8342	0	27.7909
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	0	0	0	0	0	0	0	3.95806	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2973	0	0	6.01867	0	0	0	0	0	0	0	0	0	22.1614	0	0	47.0113	12.8479	36.6707
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.80438	0	0	0	0	0	0	0	0	0	0	0	0	19.7856	0	0	37.8342	11.9481	27.7909
PWY-5896: superpathway of menaquinol-10 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0462	0	0	0	0	0	0	0	0	0	0	0	0	3.58098	0	0	51.0699	0	38.2095
PWY-5897: superpathway of menaquinol-11 biosynthesis	0	0	0	0	0	0	0	5.38614	0	0	0	0	0	0	0	0	0	0	0	0	0	13.392	0	0	7.69154	0	0	0	0	0	0	0	0	0	28.3485	0	0	58.628	15.877	44.8556
PWY-5898: superpathway of menaquinol-12 biosynthesis	0	0	0	0	0	0	0	5.38614	0	0	0	0	0	0	0	0	0	0	0	0	0	13.392	0	0	7.69154	0	0	0	0	0	0	0	0	0	28.3485	0	0	58.628	15.877	44.8556
PWY-5899: superpathway of menaquinol-13 biosynthesis	0	0	0	0	0	0	0	5.38614	0	0	0	0	0	0	0	0	0	0	0	0	0	13.392	0	0	7.69154	0	0	0	0	0	0	0	0	0	28.3485	0	0	58.628	15.877	44.8556
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.62469	0	0	0	0	0	0	0	0	3.67073	0	0	0	0	0	0	3.64986	0	0
PWY-5913: partial TCA cycle (obligate autotrophs)	0	0	0	16.564	0	0	4.68742	79.2837	0	0	3.74934	0	0	0	0	7.47595	3.20151	5.57553	16.6284	45.7497	6.35667	42.2306	4.14655	29.3884	4.51914	6.67826	8.04851	8.00008	0	2.60262	22.4144	5.5554	0	6.65881	12.8514	11.1058	18.4336	258.124	32.6981	34.4098
PWY-5918: superpathway of heme b biosynthesis from glutamate	0	0	0	0	0	0	0	4.37711	0	0	0	0	0	0	0	0	0	0	3.08275	0	0	18.2753	0	0	0	0	0	0	0	0	3.67337	0	0	0	6.44563	0	0	56.1363	9.29198	20.384
PWY-5920: superpathway of heme b biosynthesis from glycine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.65715	0	0	0	0	0	0	0	0	0	0	0	0	3.70154	0	0	32.1778	4.5785	6.25245
PWY-5941: glycogen degradation II	0	196.203	16.6446	70.8696	153.131	22.825	97.2103	46.0254	410.823	251.425	168.6	224.628	25.468	72.3925	68.0932	59.988	73.3113	80.6253	708.287	777.548	191.487	266.303	146.023	607.113	177.921	45.9491	148.156	127.418	167.296	77.1212	566.646	492.801	278.667	1185.82	260.939	325.967	327.496	161.147	149.599	319.84
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	0	0	0	0	24.5462	0	0	101.704	0	0	0	0	0	0	0	0	0	0	0	0	1.73288	127.921	0	0	0	0	0	0	0	0	24.6352	0	13.9554	0	67.0266	19.1446	43.7722	339.609	81.1979	129.127
PWY-5972: stearate biosynthesis I (animals)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3749	0	0
PWY-5973: cis-vaccenate biosynthesis	17.8543	68.636	9.08182	28.7235	56.1308	10.0212	54.3094	98.6973	101.66	142.04	158.917	58.2678	24.061	39.3075	64.9517	47.6651	63.4405	28.8238	201.505	478.264	165.374	230.354	42.7452	194.565	139.304	42.7568	67.8316	73.7405	98.1709	38.9752	224.762	148.863	94.9969	308.188	265.939	90.4161	97.4479	390.138	125.169	250.836
PWY-5981: CDP-diacylglycerol biosynthesis III	0	0	0	2.08688	0	0	0	13.5388	0	0	1.15823	0	0	0	0	0	0	0	0	9.79148	0	14.0249	0	16.97	0	0	1.091	0	0	0	10.9618	0	0	10.7458	3.88038	9.37636	0.99959	70.2458	12.2065	9.65817
PWY-5989: stearate biosynthesis II (bacteria and plants)	8.89348	5.11491	0	3.63755	10.9728	0	5.64353	40.2757	0	0	42.5164	0	0	0	6.02221	1.13933	8.8705	0	37.0749	7.27577	10.6403	88.9926	0	17.5388	0	0	19.6857	3.46589	3.63332	11.4925	15.3914	20.9888	9.21169	10.5398	47.939	11.7519	30.1889	223.089	64.6063	104.746
PWY-5994: palmitate biosynthesis (type I fatty acid synthase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44874
PWY-6071: superpathway of phenylethylamine degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.734204
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	5.83475	237.365	9.5379	26.5888	137.471	16.4004	45.3945	58.2876	293.51	146.382	191.203	198.167	16.4161	73.6809	40.1923	65.7966	92.3629	59.6378	399.972	738.533	121.424	181.152	98.8613	255.55	159.741	26.5031	86.1338	110.04	143.828	52.5584	439.757	347.995	195.26	1490.54	312.146	174.942	174.313	133.629	91.9664	317.89
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	8.3965	288.277	9.92755	25.6172	131.768	17.2847	46.3819	57.0308	291.14	156.712	184.059	201.934	19.755	76.4786	35.541	70.4527	98.7817	60.9734	389.702	724.647	137.783	189.131	92.4924	251.347	179.677	30.269	87.5693	112.561	153.774	52.5442	453.614	379.852	210.431	1469.86	315.624	176.032	173.107	129.2	94.7349	317.645
PWY-6123: inosine-5'-phosphate biosynthesis I	9.30056	137.468	10.4401	18.7628	146.22	21.2676	34.4474	32.7668	123.79	106.402	192.285	174.008	15.9228	74.7082	43.2924	47.7807	44.1059	54.7924	327.998	573.967	139.973	186.312	29.3366	208.324	98.2559	48.3766	67.6596	97.1055	111.559	42.9023	231.651	227.772	77.7474	1155.26	257.677	144.134	96.2658	104.241	92.4169	257.422
PWY-6124: inosine-5'-phosphate biosynthesis II	13.2782	130.342	9.35403	16.7844	154.593	19.7625	35.915	17.6273	114.255	101.425	212.138	174.001	14.3801	72.6139	39.9414	46.3582	40.4459	47.5424	341.635	549.571	222.378	195.709	25.5768	216.77	90.1764	46.117	67.4141	97.5619	107.981	44.5938	217.702	221.305	70.4262	1242.59	247.458	154.09	88.5615	87.5363	94.0692	253.342
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	24.8345	52.2579	15.123	49.6112	54.6091	9.44452	36.332	39.4216	49.8148	110.018	177.149	110.439	26.0983	52.0486	41.8765	56.173	49.7009	58.3422	166.705	408.152	166.827	226.916	15.2668	130.948	85.4008	53.122	76.2218	80.865	95.4889	54.144	102.92	151.507	72.1349	902.319	210.254	106.945	108.653	204.232	158.661	235.795
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	32.5292	58.6255	20.8507	55.5934	67.9823	14.3701	48.4507	53.0148	61.7559	150.664	226.39	129.131	33.6347	60.7213	52.9842	66.0529	63.6179	71.3096	203.279	533.687	197.384	285.055	17.5985	152.313	100.128	70.3068	89.8076	101.92	116.766	63.1948	143.912	199.731	80.1055	1077.52	252.537	128.724	124.475	262.332	170.155	284.605
PWY-6143: CMP-pseudaminate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28265	0	0	1.57757	0	0	0	0	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0	61.4426	0	14.1091	0	3.86193	0	11.212	14.8873	19.2608	24.5	22.9669	0	15.7841	0	11.1818	4.02382	13.2108	31.7516	35.3994	35.5534	11.9579	0	41.1692	28.925	13.8165	17.0001	6.79822	46.3077	11.1451	25.6356	18.6064	33.6883	76.4389	227.955	7.64423	38.2315	26.0014	51.9331	203.217
PWY-6151: S-adenosyl-L-methionine salvage I	5.6554	102.146	64.7533	68.9127	70.0869	32.353	31.1523	50.9203	121.682	106.114	71.651	166.152	29.7486	52.4589	62.0091	85.7083	144.559	176.14	139.484	320.823	94.8524	168.961	69.2604	142.72	134.947	64.5879	67.2102	110.735	132.326	43.3561	247.332	182.79	130.195	423.141	279.043	64.6099	184.324	202.139	88.3204	301.664
PWY-6160: 3-dehydroquinate biosynthesis II (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22563	0	0	0	0	0	0	0	0	0	3.265	0	0	6.28302
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	5.39136	101.189	0	38.3213	41.2077	27.6712	39.4106	51.1572	91.8735	81.6507	77.16	151.308	7.39565	43.5564	38.8666	37.4901	50.7168	44.9256	206.159	279.648	86.3146	98.6157	57.1394	121.631	173.167	10.2543	56.9923	53.733	129.454	43.769	206.939	138.078	155.358	387.236	307.053	80.7263	141.086	115.551	86.6568	376.491
PWY-6165: chorismate biosynthesis II (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.75983	0	0	0	0	0	0	0	0	0	8.34379	0	0	16.2879
PWY-6167: flavin biosynthesis II (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.8605
PWY-6168: flavin biosynthesis III (fungi)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.8156	0	0	0	0	0	0	0	0	0	32.4944	0	0	61.7645	0	0	104.875	45.8897	161.273
PWY-6182: superpathway of salicylate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22024
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0594
PWY-6215: 4-chlorobenzoate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40707
PWY-621: sucrose degradation III (sucrose invertase)	0	0	0	4.74932	0	0	7.62044	5.48004	20.7848	0	6.39742	56.7919	3.96615	0	4.24612	0	15.1786	0	19.8287	48.1959	36.6856	8.50231	7.78812	28.2945	36.6636	12.394	3.03449	6.90235	15.1357	0	18.0812	5.53387	33.4202	5.25581	165.048	13.7112	71.5567	48.6926	25.6418	109.967
PWY-622: starch biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.0315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6270: isoprene biosynthesis I	0	44.7542	0	9.13298	59.7173	0	13.2028	19.5611	89.6491	0	85.0491	11.5129	19.475	38.4255	33.2202	36.4588	43.536	46.4235	68.9827	312.601	60.5561	144.688	93.8779	88.6804	173.222	35.0148	77.5805	80.7153	107.642	33.1476	98.6608	66.9141	172.706	162.086	299.136	72.3866	122.378	97.5028	103.662	291.07
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	8.3965	288.277	9.92755	25.6172	131.768	17.2847	46.3819	57.0308	291.14	156.712	184.059	201.934	19.755	76.4786	35.541	70.4527	98.7817	60.9734	389.702	724.647	137.783	189.131	92.4924	251.347	179.677	30.269	87.5693	112.561	153.774	52.5442	453.614	379.852	210.431	1469.86	315.624	176.032	173.107	129.2	94.7349	317.645
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	9.90746	0	0	20.3655	19.9935	0	7.77322	105.096	0	0	50.0609	0	0	0	7.00614	1.14861	12.1169	0	39.9726	7.3616	1.53297	114.108	0	18.3903	0	0	22.2068	3.50452	0	12.2658	16.6682	22.7995	9.37112	0	48.5213	13.5653	37.1171	367.84	75.2094	106.296
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	0	0	0	0	17.2086	0	0	36.7986	0	0	0	0	0	0	0	0	0	0	0	0	1.70131	42.9198	0	0	0	0	0	0	0	0	12.9631	0	8.50521	0	29.6044	10.0157	11.3736	113.718	25.0416	49.4929
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0	0	0	0	18.3165	0	0	53.974	0	0	0	0	0	0	0	0	0	0	0	0	0	66.3181	0	0	0	0	0	0	0	0	14.6277	0	0	0	31.0462	12.2768	15.2788	170.535	30.3741	58.8843
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	0	2.29959	0	0	0	0	0	0	2.84365	0	0	4.68235	0	0	0	4.18519	0	0	11.7917	3.86529	0	8.01889	0	15.663	14.2707	0	0	9.78561	17.3642	0	5.35054	3.50073	19.3608	22.206	39.9272	5.73145	3.45828	7.14232	5.57507	49.6786
PWY-6293: superpathway of L-cysteine biosynthesis (fungi)	0	0	0	7.71597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.21218	0	0	0	0	0	0	0	0	0	0	0	0	0.586122	0	0	11.8533	2.46283	11.9206
PWY-6305: superpathway of putrescine biosynthesis	0	0	0	2.62873	0	0	2.28936	20.78	2.17048	4.09591	10.6108	0	0	0	0	0	0	0	18.9559	10.5024	3.83477	19.3295	1.93548	6.16405	10.9605	5.62396	8.82859	0	9.89159	0	9.21408	0	22.6132	16.0715	47.4878	0	6.14951	33.2865	15.4313	76.6497
PWY-6317: D-galactose degradation I (Leloir pathway)	0	118.395	7.43109	30.8351	169.509	28.5522	50.5628	16.6316	171.975	151.395	122.696	301.286	29.1887	65.0392	50.1254	42.5122	75.7269	65.8707	308.48	622.604	83.5359	215.066	65.5452	280.019	145.487	18.7635	87.317	84.8119	117.22	49.4095	267.799	234.412	174.225	900.616	209.522	153.224	197.149	87.0436	117.044	225.061
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565174	0	0	0	0	0.542252
PWY-6328: L-lysine degradation X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4315
PWY-6349: CDP-archaeol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7587	0	0	0	0	0	0	0	0	0	2.60894	0	0	6.38428
PWY-6350: archaetidylinositol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.87651
PWY-6353: purine nucleotides degradation II (aerobic)	0	35.1516	0	0	27.1654	0	6.33079	4.70039	25.3395	24.4702	16.3327	29.1321	7.88678	8.13056	0	25.6018	21.3531	26.2127	69.0231	57.0987	8.9539	48.363	14.7979	43.043	19.5167	12.1248	15.6009	32.3677	36.3733	5.54492	47.881	28.5759	24.5249	71.525	73.2501	32.3531	27.1177	42.1857	19.7343	119.907
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	6.88944	144.143	0	34.544	86.9757	10.6756	33.5989	29.5137	166.247	100.753	105.17	208.836	14.5027	50.8461	36.6366	49.6088	69.6542	88.1429	160.039	393.752	107.824	162.698	51.9758	151.986	139.219	43.7779	71.5564	52.4503	113.757	42.2577	250.24	188.861	171.241	561.805	352.019	67.8908	136.916	141.419	92.3703	391.3
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	7.27139	140.093	0	34.519	88.1506	7.74427	33.3923	25.9455	168.096	93.7241	99.633	197.103	16.1676	51.3046	41.829	50.2253	68.4867	80.015	162.859	402.636	112.2	149.432	53.1907	150.862	146.649	44.4594	64.6365	48.668	117.539	43.2968	252.716	185.866	185.683	532.116	380.672	68.3851	136.263	134.506	91.3464	414.973
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	7.84469	170.411	0	37.679	91.4858	11.4057	34.0785	28.61	179.847	105.565	119.094	228.097	15.2431	59.7239	43.5783	55.9254	92.135	92.5822	216.119	421.35	128.534	164.548	71.6947	165.045	187.22	46.7802	69.6374	54.9352	119.408	46.8988	258.732	221	194.294	662.621	370.248	75.312	152.687	140.678	95.1698	423.762
PWY-6396: superpathway of 2,3-butanediol biosynthesis	0	0	0	0	0	0	0	6.34383	0	0	0	0	0	0	0	0	0	0	0	0	7.50743	2.06971	0	0	0	0	0	0	0	0	1.13178	0	0	6.99925	0	0	13.557	0	0	0
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	0	45.9906	0	0	10.6301	0	12.3328	0	7.85525	33.72	25.3079	0	0	0	0	0	0	0	35.4915	39.9288	0	64.0539	15.4346	20.8311	38.5206	14.4779	0	8.89188	22.118	6.81064	49.9409	51.7848	38.4811	35.7267	91.8145	9.47807	0	28.694	31.1957	59.444
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	0	0	0	0	0	0	0	0	0	34.9451	16.6895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.90592	0	0	12.71	7.27273	0	0	0	0	0	10.2238	0	16.58	0	0
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.92484	0	0	0	0	4.92114
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	0	30.1267	0	8.71403	25.6485	4.25608	3.93875	7.76384	41.7977	19.3524	0	86.2971	4.16349	38.4182	0	10.9933	9.83677	12.2685	166.854	47.1929	0	24.6354	0	86.0769	13.6757	9.62294	7.07738	11.9092	11.2267	7.2688	19.4662	45.249	15.3745	194.892	27.9673	9.82936	24.0284	18.1353	27.9114	33.5218
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0	0	0	0	18.1398	0	5.75418	0	0	0	34.8613	0	0	0	6.27428	1.36186	6.64942	0	42.6402	8.85401	1.30027	60.2916	0	19.4961	0	0	12.4213	4.05001	0	12.6603	17.1507	24.296	10.6008	0	55.4075	14.2889	25.7314	87.822	67.8636	110.895
PWY-6527: stachyose degradation	0	83.7405	0	4.94001	89.9368	0	27.1017	5.69195	92.4849	79.8436	78.8319	218.705	17.3762	24.4417	39.3633	30.1644	36.4944	39.3775	217.768	384.041	75.6144	126.167	47.654	146.197	122.855	5.2603	58.6028	35.6766	111.268	26.6161	164.263	123.664	153.788	622.055	187.938	104.444	96.8998	84.2452	104.511	186.809
PWY-6531: mannitol cycle	0	0	0	0	0	0	0	3.2868	0	0	0	0	0	0	0	0	0	0	0	0	3.7266	6.55721	0	0	0	0	0	0	0	0	0	0	0	0	15.0464	3.34701	3.02598	35.7543	9.19264	25.5117
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	0	0	0	0	0	0	0	7.13515	0	0	5.12305	0	0	0	0	26.9506	0	0	9.33793	0	0	2.34512	0	10.2083	0	0	0	2.26043	7.84414	5.67142	2.65139	0	0	0	9.26823	0	0	11.326	0	45.1169
PWY-6549: L-glutamine biosynthesis III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3348	0	7.79903	21.9439	53.3921	0	17.1319	0	0	10.4317	10.6351	0	7.37406	0	0	28.7563	7.33215	15.552	11.5178	21.7515	0	23.8095	17.7174	26.5367	49.7228
PWY-6562: norspermidine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.01947	0	0	0	0	0	0	0	0	0
PWY-6572: chondroitin sulfate degradation I (bacterial)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.57039	0	0	0	2.80069	10.0757
PWY-6588: pyruvate fermentation to acetone	3.62776	11.2407	0	0	5.93294	0	0	0	13.1826	8.29391	6.00876	0	4.37885	8.00486	0	4.29486	0	13.3983	6.93648	469.74	0	69.0672	12.1006	5.38475	12.1077	0	6.04526	14.6877	6.7425	0	39.0065	28.5387	2.79085	840.951	0.506302	10.8094	9.17924	22.9352	24.3016	10.251
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	0	0	0	0	0	0	0	0	28.8859	11.7944	6.34269	35.0822	7.37457	0	0	0	0	0	14.8241	44.9754	0	62.344	0	19.7333	14.1015	0	9.28891	10.4149	4.82303	0	23.3173	23.8517	14.92	44.6143	33.625	16.2425	16.4042	5.02022	10.438	34.5854
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.49579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.19421	6.97288	0	0	0	0	12.884
PWY-6606: guanosine nucleotides degradation II	0	19.771	0	0	20.7793	0	2.79351	2.55808	13.3875	14.4726	9.29106	17.1196	4.94327	4.47536	0	13.9058	12.3278	16.4376	41.1762	34.4474	4.61931	27.4459	6.49096	24.8062	9.41771	4.85678	7.3332	18.9008	20.2292	2.6619	26.6305	15.948	12.8908	42.2897	38.8937	20.187	15.1664	18.578	9.58971	66.098
